Source,Remove,checks_passed,dataset_id,dataset_name,heterogeneous,Deterministic,Artificial,P/n ratio too high,Stream,Time series,Too many low cardinality,Hidden columns,Too little information,Too many IDs,Redundant,Crafted features,Simulated,n_features,n_samples,num_categorical_columns,num_columns_missing,num_pseudo_categorical_columns,num_rows_missing,original_n_features,original_n_samples,score_hbgt,score_logistic,too_easy
OpenML Multiple,1,1,149,CovPokElec,,,,,,,,,,,1,,,15,1294868,50,0,7,0,72,1455525,"0,6390368922","0,5826532677",0
OpenML Multiple,,0,150,covertype,,,,,,,,,,,,,,10,423680,44,0,0,0,54,581012,"0,7337756583","0,758932891",1
OpenML Multiple,1,1,155,pokerhand,,,,,,,,,,,1,,,5,700852,5,0,0,0,10,829201,"0,7128550991","0,5925471762",0
OpenML Multiple,1,1,156,RandomRBF_0_0,,,1,,,,,,,,,,,10,522348,0,0,0,0,10,1000000,"0,9287577213","0,6823610158",0
OpenML Multiple,1,1,157,RandomRBF_10_1E-3,,,1,,,,,,,,,,,10,522348,0,0,0,0,10,1000000,"0,9017158545","0,7289636239",0
OpenML Multiple,1,1,158,RandomRBF_10_1E-4,,,1,,,,,,,,,,,10,522348,0,0,0,0,10,1000000,"0,9010295127","0,7656142759",0
OpenML Multiple,,0,159,RandomRBF_50_1E-3,,,,,,,,,,,,,,10,522348,0,0,0,0,10,1000000,"0,5052848318","0,5020590254",1
OpenML Multiple,,0,160,RandomRBF_50_1E-4,,,,,,,,,,,,,,10,522348,0,0,0,0,10,1000000,"0,5443376802","0,5176389842",1
OpenML Multiple,,0,180,covertype,,,,,,,,,,,,,,10,77812,40,0,4,0,54,110393,"0,7797505987","0,7533239739",1
OpenML Multiple,,0,182,satimage,,,,,,,,,,,,,,36,3016,0,0,0,0,36,6430,"0,9975690608","0,9975690608",1
OpenML Multiple,,0,183,abalone,,,,,,,,,,,,,,7,1268,1,0,0,0,8,4177,,,
OpenML Multiple,1,1,244,BNG(anneal),,,1,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,7128960732","0,6282812388",0
OpenML Multiple,1,1,245,"BNG(anneal,ORIG)",,,1,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,7310635863","0,6472355339",0
OpenML Multiple,1,1,247,BNG(letter),,,1,,,,,,,,,,,16,80506,0,0,0,0,16,1000000,"0,9495330165","0,8970178601",0
OpenML Multiple,1,1,248,BNG(autos),,,1,,,,,,,,,,,15,521888,10,0,0,0,25,1000000,"0,6878303247","0,6489120736",0
OpenML Multiple,,0,250,BNG(mfeat-fourier),,,,,,,,,,,,,,76,200314,0,0,0,0,76,1000000,"0,9936585717","0,997261656",1
OpenML Multiple,,0,252,BNG(mfeat-karhunen),,,,,,,,,,,,,,64,200734,0,0,0,0,64,1000000,"0,989481268","0,9891930836",1
OpenML Multiple,,0,254,BNG(mfeat-zernike),,,,,,,,,,,,,,47,200552,0,0,0,0,47,1000000,"0,9696664025","0,9432956265",1
OpenML Multiple,1,1,259,BNG(page-blocks),,,1,,,,,,,,,,,10,35200,0,0,0,0,10,295245,"0,9333565675","0,7052354399",0
OpenML Multiple,,0,261,BNG(pendigits),,,,,,,,,,,,,,16,208286,0,0,0,0,16,1000000,"0,9893678161","0,9862787356",1
OpenML Multiple,1,1,265,BNG(glass),,,1,,,,,,,,,,,9,89338,0,0,0,0,9,137781,"0,8384874219","0,6736901138",0
OpenML Multiple,,0,266,BNG(heart-c),,,,,,,,,,,,,,5,907206,7,0,1,0,13,1000000,"0,7005829718","0,7307483731",1
OpenML Multiple,1,1,268,BNG(vehicle),,,1,,,,,,,,,,,18,512202,0,0,0,0,18,1000000,"0,8941006799","0,8005631481",0
OpenML Multiple,,0,271,BNG(waveform-5000),,,,,,,,,,,,,,40,661984,0,0,0,0,40,1000000,"0,9088056749","0,9137848714",1
OpenML Multiple,,0,279,"meta_stream_intervals,arff",,,,,,,,,,,,,,73,11818,0,0,1,0,74,45164,"0,99678511","0,9701635646",1
OpenML Multiple,,0,300,isolet,,,,,,,,,,,,,,613,600,0,0,4,0,617,7797,,,
OpenML Multiple,,0,375,JapaneseVowels,,,,,,,,,,,,,,14,2946,0,0,0,0,14,9961,,,
OpenML Multiple,,,390,"new3s,wc",,,,,,,,,,,,,,3613,1136,0,0,23219,0,26832,9558,,,
OpenML Multiple,,0,399,"ohscal,wc",,,,,,,,,,,,,,665,2900,0,0,10800,0,11465,11162,,,
OpenML Multiple,,0,554,mnist_784,,,,,,,,,,,,,,655,14586,0,0,129,0,784,70000,"0,9953839122","0,9949268739",1
OpenML Multiple,0,1,1044,eye_movements,,,,,,,,,,,,,,20,7608,3,0,4,0,27,10936,"0,6568550153","0,5628558914",0
OpenML Multiple,,0,1110,KDDCup99_full,,,,,,,,,,,,,,27,2144034,7,0,7,0,41,4898431,1,1,1
OpenML Multiple,,0,1113,KDDCup99,,,,,,,,,,,,,,26,214402,7,0,8,0,41,494020,1,1,1
OpenML Multiple,,0,1183,BNG(satimage),,,,,,,,,,,,,,36,468272,0,0,0,0,36,1000000,"0,9877410468","0,9873966942",1
OpenML Multiple,,0,1185,BNG(wine),,,,,,,,,,,,,,13,642542,0,0,0,0,13,1000000,"0,9500341297","0,9371331058",1
OpenML Multiple,1,1,1186,BNG(eucalyptus),,,1,,,,,,,,,,,11,490530,5,0,3,0,19,1000000,"0,8762206024","0,7496905515",0
OpenML Multiple,,0,1209,BNG(vowel),,,,,,,,,,,,,,10,182326,2,0,0,0,12,1000000,"0,893433096","0,8508644486",1
OpenML Multiple,,0,1214,BNG(JapaneseVowels),,,,,,,,,,,,,,14,294022,0,0,0,0,14,1000000,"0,9601685985","0,9617843344",1
OpenML Multiple,,0,1222,"letter-challenge-unlabeled,arff",,,,,,,,,,,,,,16,14480,0,0,0,0,16,20000,"0,5938766114","0,566160221",1
OpenML Multiple,,0,1226,Click_prediction_small,,,,,,,,,,,,,,7,664786,0,0,2,0,9,798964,"0,4904515073","0,4889510299",1
OpenML Multiple,,0,1351,"BNG(anneal,1000,1)",,,,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,6211286746","0,6473785852",1
OpenML Multiple,,0,1352,"BNG(anneal,1000,5)",,,,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,5511765968","0,6137615335",1
OpenML Multiple,,0,1353,"BNG(anneal,1000,10)",,,,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,5305772119","0,5765681997",1
OpenML Multiple,,0,1354,"BNG(anneal,5000,1)",,,,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,7062441885","0,6830698806",1
OpenML Multiple,,0,1355,"BNG(anneal,5000,5)",,,,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,6237035977","0,6669766111",1
OpenML Multiple,,0,1356,"BNG(anneal,5000,10)",,,,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,6051069308","0,6724125599",1
OpenML Multiple,,0,1357,"BNG(anneal,10000,1)",,,,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,7269150991","0,7005936628",1
OpenML Multiple,,0,1358,"BNG(anneal,10000,5)",,,,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,6546026751","0,6594664187",1
OpenML Multiple,,0,1359,"BNG(anneal,10000,10)",,,,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,6249195337","0,6637579572",1
OpenML Multiple,,0,1360,"BNG(anneal,ORIG,1000,1)",,,,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,6177669695","0,6317859953",1
OpenML Multiple,,0,1361,"BNG(anneal,ORIG,1000,5)",,,,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,553536943","0,6116872899",1
OpenML Multiple,,0,1362,"BNG(anneal,ORIG,1000,10)",,,,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,5224232887","0,5840783921",1
OpenML Multiple,,0,1363,"BNG(anneal,ORIG,5000,1)",,,,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,7105357271","0,695157714",1
OpenML Multiple,,0,1364,"BNG(anneal,ORIG,5000,5)",,,,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,619054431","0,6368643159",1
OpenML Multiple,,0,1365,"BNG(anneal,ORIG,5000,10)",,,,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,6245619054","0,6369358415",1
OpenML Multiple,,0,1366,"BNG(anneal,ORIG,10000,1)",,,,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,7804878049","0,7530219584",1
OpenML Multiple,1,1,1367,"BNG(anneal,ORIG,10000,5)",,,1,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,6459480724","0,6113296617",0
OpenML Multiple,,0,1368,"BNG(anneal,ORIG,10000,10)",,,,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,6311422645","0,633431085",1
OpenML Multiple,1,1,1378,"BNG(letter,1000,1)",,,1,,,,,,,,,,,16,80506,0,0,0,0,16,1000000,"0,9465017205","0,8738325414",0
OpenML Multiple,1,1,1379,"BNG(letter,1000,5)",,,1,,,,,,,,,,,16,80506,0,0,0,0,16,1000000,"0,9223332787","0,7971489431",0
OpenML Multiple,1,1,1380,"BNG(letter,1000,10)",,,1,,,,,,,,,,,16,80506,0,0,0,0,16,1000000,"0,8601507455","0,754710798",0
OpenML Multiple,1,1,1381,"BNG(letter,5000,1)",,,1,,,,,,,,,,,16,80506,0,0,0,0,16,1000000,"0,9542028511","0,8903817795",0
OpenML Multiple,1,1,1382,"BNG(letter,5000,5)",,,1,,,,,,,,,,,16,80506,0,0,0,0,16,1000000,"0,9506799934","0,8715385876",0
OpenML Multiple,1,1,1383,"BNG(letter,5000,10)",,,1,,,,,,,,,,,16,80506,0,0,0,0,16,1000000,"0,9446993282","0,8493363919",0
OpenML Multiple,1,1,1384,"BNG(letter,10000,1)",,,1,,,,,,,,,,,16,80506,0,0,0,0,16,1000000,"0,9503522858","0,8880878257",0
OpenML Multiple,1,1,1385,"BNG(letter,10000,5)",,,1,,,,,,,,,,,16,80506,0,0,0,0,16,1000000,"0,9496968704","0,8834999181",0
OpenML Multiple,1,1,1386,"BNG(letter,10000,10)",,,1,,,,,,,,,,,16,80506,0,0,0,0,16,1000000,"0,9467475012","0,874242176",0
OpenML Multiple,,0,1393,"BNG(autos,1000,1)",,,,,,,,,,,,,,15,521888,10,0,0,0,25,1000000,"0,6387535177","0,6119843503",1
OpenML Multiple,,0,1394,"BNG(autos,1000,5)",,,,,,,,,,,,,,15,521888,10,0,0,0,25,1000000,"0,5632507379","0,552474432",1
OpenML Multiple,,0,1395,"BNG(autos,1000,10)",,,,,,,,,,,,,,15,521888,10,0,0,0,25,1000000,"0,528588098","0,5341478482",1
OpenML Multiple,1,1,1396,"BNG(autos,5000,1)",,,1,,,,,,,,,,,15,521888,10,0,0,0,25,1000000,"0,7313473814","0,6575605738",0
OpenML Multiple,1,1,1397,"BNG(autos,5000,5)",,,1,,,,,,,,,,,15,521888,10,0,0,0,25,1000000,"0,6652481296","0,6168577116",0
OpenML Multiple,1,1,1398,"BNG(autos,5000,10)",,,1,,,,,,,,,,,15,521888,10,0,0,0,25,1000000,"0,5813027661","0,5484933763",0
OpenML Multiple,1,1,1399,"BNG(autos,10000,1)",,,1,,,,,,,,,,,15,521888,10,0,0,0,25,1000000,"0,7178255199","0,6547463793",0
OpenML Multiple,1,1,1400,"BNG(autos,10000,5)",,,1,,,,,,,,,,,15,521888,10,0,0,0,25,1000000,"0,7173450477","0,6262612396",0
OpenML Multiple,1,1,1401,"BNG(autos,10000,10)",,,1,,,,,,,,,,,15,521888,10,0,0,0,25,1000000,"0,6489807125","0,6095133503",0
OpenML Multiple,,0,1459,artificial-characters,,,,,,,,,,,,,,6,2396,0,0,1,0,7,10218,,,
OpenML Multiple,,0,1475,first-order-theorem-proving,,,,,,,,,,,,,,51,2178,0,0,0,0,51,6118,,,
OpenML Multiple,,0,1476,gas-drift,,,,,,,,,,,,,,128,5852,0,0,0,0,128,13910,"0,9978359909","0,9988610478",1
OpenML Multiple,,0,1477,gas-drift-different-concentrations,,,,,,,,,,,,,,129,5852,0,0,0,0,129,13910,"0,9978359909","0,99738041",1
OpenML Multiple,,0,1478,har,,,,,,,,,,,,,,561,3812,0,0,0,0,561,10299,"0,9998251748",1,1
OpenML Multiple,1,1,1483,ldpa,0,,,,,,,,,,,,,5,65420,2,0,0,0,7,164860,"0,9213735836","0,6353256639",0
OpenML Multiple,1,1,1497,wall-robot-navigation,0,,,,,,,,,,,,,24,4194,0,0,0,0,24,5456,"0,9985702939","0,7906274821",0
OpenML Multiple,,0,1503,spoken-arabic-digit,,,,,,,,,,,,,,13,52932,0,0,1,0,14,263256,"0,5296744186","0,5107906977",1
OpenML Multiple,1,1,1509,walking-activity,0,,,,,,,,,,,,,4,41516,0,0,0,0,4,149332,"0,903385172","0,526876109",0
OpenML Multiple,,0,1526,wall-robot-navigation,,,,,,,,,,,,,,4,4194,0,0,0,0,4,5456,"0,9996822875","0,9725178713",1
OpenML Multiple,,0,1557,abalone,,,,,,,,,,,,,,7,2814,1,0,0,0,8,4177,,,
OpenML Multiple,1,1,1567,poker-hand,,,,,,,,,,,1,,,5,866194,0,0,5,0,10,1025009,"0,5358523845","0,4920968727",0
OpenML Multiple,1,1,1569,poker-hand,,,,,,,,,,,1,,,5,866192,0,0,5,0,10,1025000,"0,5515229632","0,4863306424",0
OpenML Multiple,,0,1596,covertype,,,,,,,,,,,,,,10,423680,44,0,0,0,54,581012,"0,7267261041","0,751192204",1
OpenML Multiple,1,1,4538,GesturePhaseSegmentationProcessed,0,,,,,,,,,,,,,32,5482,0,0,0,0,32,9873,"0,9107598784","0,7849240122",0
OpenML Multiple,,0,4541,Diabetes130US,,,,,,,,,,,,,,11,71090,36,0,2,0,49,101766,"0,6136882129","0,6152936206",1
OpenML Multiple,,0,40498,wine-quality-white,,,,,,,,,,,,,,11,2914,0,0,0,0,11,4898,,,
OpenML Multiple,,0,40499,texture,,,,,,,,,,,,,,40,1000,0,0,0,0,40,5500,,,
OpenML Multiple,1,1,40520,BNG(anneal),,,1,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,7025963808","0,6261354696",0
OpenML Multiple,1,1,40672,fars,,,,,,,,,,1,,,,14,40014,15,0,0,0,29,100968,1,"0,8928939604",0
OpenML Multiple,,0,40685,shuttle,,,,,,,,,,,,,,9,17806,0,0,0,0,9,58000,1,"0,9802666667",1
OpenML Multiple,,0,40923,Devnagari-Script,,,,,,,,,,,,,,784,4000,0,0,240,0,1024,92000,"0,9965","0,9921666667",1
OpenML Multiple,,,40926,CIFAR_10_small,,,,,,,,,,,,,,3072,4060,0,0,0,0,3072,20000,,,
OpenML Multiple,,,40927,CIFAR_10,,,,,,,,,,,,,,3072,12000,0,0,0,0,3072,60000,,,
OpenML Multiple,,0,40996,Fashion-MNIST,,,,,,,,,,,,,,783,14000,0,0,1,0,784,70000,"0,9980952381","0,9982380952",1
OpenML Multiple,,0,40997,jungle_chess_2pcs_endgame_panther_lion,,,,,,,,,,,,,,13,4072,26,0,7,0,46,4704,"0,9926350245","0,9451718494",1
OpenML Multiple,1,1,40998,jungle_chess_2pcs_endgame_panther_lion,,,,,,,1,,,,,,,13,4072,26,0,7,0,46,4704,"0,9962356792","0,94599018",0
OpenML Multiple,,0,41000,jungle_chess_2pcs_endgame_panther_elephant,,,,,,,,,,,,,,14,4028,26,0,6,0,46,4704,"0,7272125724","0,7995037221",1
OpenML Multiple,1,1,41001,jungle_chess_2pcs_endgame_complete,,,,,,,1,,,,,,,14,32500,26,0,6,3528,46,44819,"0,9010771326","0,8440840246",0
OpenML Multiple,,0,41002,jungle_chess_2pcs_endgame_rat_panther,,,,,,,,,,,,,,14,3222,26,0,6,1176,46,5880,"0,9619441572","0,9352637022",1
OpenML Multiple,1,1,41003,jungle_chess_2pcs_endgame_rat_elephant,,,,,,,1,,,,,,,14,3554,26,0,6,1176,46,5880,"0,9988753515","0,8026241799",0
OpenML Multiple,,0,41004,jungle_chess_2pcs_endgame_lion_elephant,,,,,,,,,,,,,,13,2818,26,0,7,0,46,4704,,,
OpenML Multiple,1,1,41006,jungle_chess_2pcs_endgame_rat_lion,,,,,,,1,,,,,,,13,3960,26,0,7,1176,46,5880,"0,9952861953","0,9451178451",0
OpenML Multiple,,0,41027,jungle_chess_2pcs_raw_endgame_complete,,,,,,,,,,,,,,0,44819,0,0,6,0,6,44819,,,
OpenML Multiple,,0,41039,EMNIST_Balanced,,,,,,,,,,,,,,688,5600,0,0,96,0,784,131600,"0,9935752528","0,9927424152",1
OpenML Multiple,,,41081,SVHN,,,,,,,,,,,,,,3072,29468,0,0,0,0,3072,99289,,,
OpenML Multiple,,0,41082,USPS,,,,,,,,,,,,,,256,2538,0,0,0,0,256,9298,,,
OpenML Multiple,,,41103,STL-10,,,,,,,,,,,,,,27648,2600,0,0,0,0,27648,13000,,,
OpenML Multiple,,0,41163,dilbert,,,,,,,,,,,,,,2000,4092,0,0,0,0,2000,10000,"0,9990228013",1,1
OpenML Multiple,,0,41164,fabert,,,,,,,,,,,,,,730,3030,0,0,70,0,800,8237,"0,9423542354","0,9652365237",1
OpenML Multiple,,,41165,robert,,,,,,,,,,,,,,7200,2070,0,0,0,0,7200,10000,,,
OpenML Multiple,,0,41166,volkert,,,,,,,,,,,,,,147,23038,0,0,33,0,180,58310,"0,9901923322","0,9895554706",1
OpenML Multiple,0,1,41168,jannis,,,,,,,,,,,,,,54,57580,0,0,0,0,54,83733,"0,7625529613","0,7260434508",1
OpenML Multiple,,0,41169,helena,,,,,,,,,,,,,,27,6126,0,0,0,0,27,65196,"0,9655059848","0,9628944505",1
OpenML Multiple,,0,41671,microaggregation2,,,,,,,,,,,,,,10,8964,0,0,10,0,20,20000,"0,6130111524","0,6446840149",1
OpenML Multiple,,0,41972,Indian_pines,,,,,,,,,,,,,,220,5004,0,0,0,0,220,9144,"0,9111850866","0,8729693742",1
OpenML Multiple,1,0,41982,Kuzushiji-MNIST,0,,,,,,,,,,,,,784,14000,0,0,0,0,784,70000,"0,9935714286","0,9592857143",1
OpenML Multiple,1,,41983,CIFAR-100,0,,,,,,,,,,,,,3072,1200,0,0,0,0,3072,60000,,,
OpenML Multiple,,0,41986,GTSRB-HOG01,,,,,,,,,,,,,,1568,5880,0,0,0,0,1568,51839,"0,9890022676","0,9866213152",1
OpenML Multiple,,0,41988,GTSRB-HOG02,,,,,,,,,,,,,,1568,5880,0,0,0,0,1568,51839,"0,9947845805","0,9936507937",1
OpenML Multiple,,0,41989,GTSRB-HOG03,,,,,,,,,,,,,,2916,5880,0,0,0,0,2916,51839,"0,9905895692","0,9876417234",1
OpenML Multiple,1,1,41990,GTSRB-HueHist,0,,,,,,,,,,,,,256,5880,0,0,0,0,256,51839,"0,8382086168","0,656122449",0
OpenML Multiple,,0,42468,hls4ml_lhc_jets_hlf,,,,,,,,,,,,,,16,334250,0,0,0,0,16,830000,"0,8607524255","0,8735953096",1
OpenML Multiple,1,1,42718,BNG(vehicle),,,1,,,,,,,,,,,18,512202,0,0,0,0,18,1000000,"0,9034406978","0,8156720005",0
OpenML Multiple,,0,42746,KDDCup99,,,,,,,,,,,,,,27,2144034,9,0,5,0,41,4898431,1,1,1
OpenML Multiple,1,1,42803,road-safety,,,,,,,,,,1,,,,29,112272,5,0,32,192603,66,363243,"0,6473530317","0,5967220683",0
Custom,,0,,heloc,,,,,,,,,,,,,,22,10000,,0,1,0,23,10459,"0,7040666667","0,7074666667",1
Custom,,0,,churn,,,,,,,,,,,,,,5,4074,,0,1,0,13,10000,"0,6484055601","0,6896156991",1
Custom,,0,,shopping,,,,,,,,,,,,,,9,3816,,0,1,0,17,12330,"0,8265502183","0,8069868996",1
Custom,0,1,,credit,,,,,,,,,,,,,,10,16714,,0,0,29731,11,150000,"0,7725333333","0,7243111111",0
Custom,,0,,nomao,,,,,,,,,,,,,,36,8500,,0,10,13012,120,34464,"0,956","0,9370196078",1
Custom,0,1,,california,,,,,,,,,,,,,,8,20634,,0,0,0,8,20640,"0,9001777778","0,8294666667",0
Custom,,0,,covtype,,,,,,,,,,,,,,10,423680,,0,0,0,54,581012,"0,7458704817","0,7587255512",1
Custom,,0,,spam,,,,,,,,,,,,,,57,3624,,0,0,0,57,4600,"0,9545955882","0,9215073529",1
Custom,0,1,,wine,,,,,,,,,,,,,,11,2554,,0,0,0,11,6497,"0,8078226858","0,7327249022",0
Custom,,0,,fifa,,,,,,,,,,,,,,5,15282,,0,3,1176,109,19239,"0,8482666667","0,8130222222",1