Remove,checks_passed,dataset_id,dataset_name,Transformation,Need to remove some columns,Deterministic,P/n ratio too high,Stream,Time series,Too many low cardinality,Hidden columns,Too little information,Too many IDs,Redundant,Crafted features,Simulated,Artificial,heterogeneous,n_features,n_samples,num_categorical_columns,num_columns_missing,num_pseudo_categorical_columns,num_rows_missing,original_n_features,original_n_samples,score_hbgt,score_logistic,too_easy,
1,1,189,kin8nm,,,,,,,,,,,,,,,0,8,8192,0,0,0,0,8,8192,"-0,1095281416","-0,2025073388",0,
0,1,197,cpu_act,none,,,,,,,,,,,1,,,,21,8192,0,0,0,0,21,8192,"-3,059637121","-12,54793984",0,8192
1,0,198,delta_elevators,,,,,,,,,,,1,,,,,5,9517,0,0,1,0,6,9517,"-0,001529501051","-0,001484632406",1,
0,1,201,pol,none,,,,,,,,,,,,,,,26,15000,0,0,22,0,48,15000,"-12,81661615","-26,51534969",0,15000
,0,215,2dplanes,,,,,,,,,,,,,,,,0,40768,0,0,10,0,10,40768,,,,40768
0,1,216,elevators,none,,,,,,,,,,,,,,,16,16599,0,0,2,0,18,16599,"-0,002570986162","-0,004344350139",0,16599
1,1,218,house_8L,,,,,,,,,,,1,,,,,8,22784,0,0,0,0,8,22784,"-30390,90653","-42686,19993",0,
1,1,225,puma8NH,,,,,,,,,,,,,,,0,8,8192,0,0,0,0,8,8192,"-3,44973079","-4,330717526",0,
1,1,227,cpu_small,,,,,,,,,,,1,,,,,12,8192,0,0,0,0,12,8192,"-3,322412334","-12,19021734",0,
,0,273,"IMDB,drama",,,,,,,,,,,,,,,,0,120919,0,0,1001,0,1001,120919,,,,120919
1,1,294,satellite_image,,,,,,,,,,,,,,,,36,6435,0,0,0,0,36,6435,"-1,148253523","-1,967020098",0,
0,1,300,isolet,none,,,,,,,,,,,1,,,,613,7797,0,0,4,0,617,7797,"-3,410278934","-6,43889053",0,7797
1,,390,"new3s,wc",,,,1,,,,,,,,,,,,3613,9558,0,0,23219,0,26832,9558,,,,
1,1,399,"ohscal,wc",,,,1,,,,,,,,,,,,665,11162,0,0,10800,0,11465,11162,"-2,369660315","-2,627194129",0,
0,1,287,wine_quality,none,,,,,,,,,,,,,,,11,6497,0,0,0,0,11,6497,"-0,6790611688","-0,8120953234",0,6497
0,1,296,Ailerons,none,,,,,,,,,,,,,,,33,13750,0,0,7,0,40,13750,"-0,0001609596785","-0,0001803888478",0,13750
1,0,298,coil2000,,,,,,,,,,,,,,,,35,9822,0,0,50,0,85,9822,"-0,2525741248","-0,2443803407",1,
1,1,308,puma32H,,,,,,,,,,,,,,,0,32,8192,0,0,0,0,32,8192,"-0,007777154158","-0,02693773883",0,
1,1,344,mv,,,,,,,,,,,,,,1,,7,40768,3,0,0,0,10,40768,"-0,3527010514","-5,52019646",0,
1,1,405,mtp,,,,,,,,,,,,,,1,,189,4450,0,0,13,0,202,4450,"-0,1165001194","-0,1248934539",0,
0,0,416,yprop_4_1,none,,,,,,,,,,,1,,,,42,8885,0,0,209,0,251,8885,"-0,02888605898","-0,02919387271",1,8885
1,0,422,topo_2_1,,,,1,,,,,,,,,,,,252,8885,0,0,14,0,266,8885,"-0,03295907091","-0,03367135401",1,
1,1,503,wind,,,,,,,,,,,,,,,0,14,6574,0,0,0,0,14,6574,"-3,072514036","-3,311202325",0,
,0,504,analcatdata_supreme,,,,,,,,,,,,,,,,2,4052,0,0,5,0,7,4052,,,,4052
0,1,537,houses,log,,,,,,,,,,,,,,,8,20640,0,0,0,0,8,20640,"-0,2445626883","-0,3418057718",0,20640
1,1,558,bank32nh,,,,,,,,,,,,,,1,,28,8192,0,0,4,0,32,8192,"-0,09713384021","-0,1176683721",0,
1,1,562,cpu_small,,,,,,,,,,,1,,,,,12,8192,0,0,0,0,12,8192,"-3,315562861","-11,7788717",0,
1,1,564,fried,,,,,,,,,,,,,,1,,10,40768,0,0,0,0,10,40768,"-1,115145212","-2,617693609",0,
1,1,572,bank8FM,,,,,,,,,,,,,,1,,7,8192,0,0,1,0,8,8192,"-0,03214931453","-0,05086250002",0,
1,1,573,cpu_act,,,,,,,,,,,1,,,,,21,8192,0,0,0,0,21,8192,"-3,225485984","-11,73073663",0,
0,1,574,house_16H,log,,,,,,,,,,,,,,,16,22784,0,0,0,0,16,22784,"-0,5982527548","-0,7609417447",0,22784
,0,688,visualizing_soil,,,,,,,,,,,,,,,,3,8641,1,0,0,0,4,8641,,,,8641
1,1,1191,BNG(pbc),,,,,,,,,,,,,,1,,10,1000000,8,0,0,0,18,1000000,"-933,0262488","-983,2573935",0,
1,1,1192,BNG(autoHorse),,,,,,,,,,,,,,1,,16,1000000,8,0,1,0,25,1000000,"-24,10353395","-28,84578256",0,
1,1,1195,BNG(autoPrice),,,,,,,,,,,,,,1,,15,1000000,0,0,0,0,15,1000000,"-3722,918441","-4447,344103",0,
1,0,1199,BNG(echoMonths),,,,,,,,,,,,,,1,,6,17496,3,0,0,0,9,17496,"-14,74265311","-15,28378688",1,
,0,1203,BNG(pwLinear),,,,,,,,,,,,,,,,0,177147,0,0,10,0,10,177147,,,,177147
1,1,1206,BNG(satellite_image),,,,,,,,,,,,,,1,,36,1000000,0,0,0,0,36,1000000,"-1,322383113","-1,773321506",0,
1,1,1208,BNG(libras_move),,,,,,,,,,,,,,1,,90,1000000,0,0,0,0,90,1000000,"-2,906680039","-3,745129191",0,
,0,1424,a3a,,,,,,,,,,,,,,,,0,32561,0,0,123,0,123,32561,,,,32561
,0,1425,a4a,,,,,,,,,,,,,,,,0,32561,0,0,123,0,123,32561,,,,32561
,0,1426,a5a,,,,,,,,,,,,,,,,0,32561,0,0,123,0,123,32561,,,,32561
,0,1427,a6a,,,,,,,,,,,,,,,,0,32561,0,0,123,0,123,32561,,,,32561
,0,1428,a7a,,,,,,,,,,,,,,,,0,32561,0,0,123,0,123,32561,,,,32561
,0,1429,a8a,,,,,,,,,,,,,,,,0,32561,0,0,123,0,123,32561,,,,32561
,0,1430,a9a,,,,,,,,,,,,,,,,0,48842,0,0,123,0,123,48842,,,,48842
1,1,1433,svmguide1,,,,,,,,,,,,,,,,4,7089,0,0,0,0,4,7089,"-0,1761522614","-0,3135277018",0,
1,1,1595,poker,,,1,,,,,,,,,,,,,5,1025010,0,0,5,0,10,1025010,"-0,8583049302","-0,994602098",0,
1,1,1575,ijcnn,,,,,,,,,,,,,,1,,12,191681,0,0,10,0,22,191681,"-0,3236909796","-0,6134057928",0,
1,,1577,"rcv1,binary",,,,1,,,,,,,,,,,,35205,697641,0,0,12031,0,47236,697641,,,,
1,,1578,real-sim,,,,,,,,,,,,,,1,,20689,72309,0,0,269,0,20958,72309,,,,
,0,1581,w1a,,,,,,,,,,,,,,,,0,49749,0,0,300,0,300,49749,,,,49749
,0,1582,w2a,,,,,,,,,,,,,,,,0,49749,0,0,300,0,300,49749,,,,49749
,0,1583,w3a,,,,,,,,,,,,,,,,0,49749,0,0,300,0,300,49749,,,,49749
,0,1584,w4a,,,,,,,,,,,,,,,,0,49749,0,0,300,0,300,49749,,,,49749
,0,1585,w5a,,,,,,,,,,,,,,,,0,49749,0,0,300,0,300,49749,,,,49749
,0,1586,w6a,,,,,,,,,,,,,,,,0,49749,0,0,300,0,300,49749,,,,49749
,0,1587,w7a,,,,,,,,,,,,,,,,0,49749,0,0,300,0,300,49749,,,,49749
,0,1588,w8a,,,,,,,,,,,,,,,,0,64700,0,0,300,0,300,64700,,,,64700
,0,1591,connect-4,,,,,,,,,,,,,,,,0,67557,0,0,126,0,126,67557,,,,67557
1,1,1592,aloi,,,,,,,,,,,,,,,0,64,108000,0,0,64,0,128,108000,"-180,979844","-276,6430513",0,
1,0,1593,SensIT-Vehicle-Combined,,,,,,,,,,,,,,1,,100,98528,0,0,0,0,100,98528,"-0,673459439","-0,7028035358",1,
1,1,1594,news20,,,,1,,,,,,,,,,,,1038,19928,0,0,61023,0,62061,19928,"-3,530813263","-4,793991525",0,
1,1,4532,higgs,,,,,,,,,,,1,,,,,24,98049,0,0,4,1,28,98050,"-0,5388853905","-0,6007432045",0,
,0,3050,QSAR-TID-11,,,,,,,,,,,,,,,,0,5742,0,0,1024,0,1024,5742,,,,5742
,0,3073,QSAR-TID-191,,,,,,,,,,,,,,,,0,4442,0,0,1024,0,1024,4442,,,,4442
,0,3164,QSAR-TID-136,,,,,,,,,,,,,,,,0,4085,0,0,1024,0,1024,4085,,,,4085
,0,3165,QSAR-TID-129,,,,,,,,,,,,,,,,0,4089,0,0,1024,0,1024,4089,,,,4089
,0,3277,QSAR-TID-10980,,,,,,,,,,,,,,,,0,5766,0,0,1024,0,1024,5766,,,,5766
,0,3318,QSAR-TID-72,,,,,,,,,,,,,,,,0,5354,0,0,1024,0,1024,5354,,,,5354
,0,3343,QSAR-TID-14037,,,,,,,,,,,,,,,,0,4378,0,0,1024,0,1024,4378,,,,4378
,0,3368,QSAR-TID-252,,,,,,,,,,,,,,,,0,4081,0,0,1024,0,1024,4081,,,,4081
,0,3427,QSAR-TID-10576,,,,,,,,,,,,,,,,0,4103,0,0,1024,0,1024,4103,,,,4103
,0,3933,QSAR-TID-9,,,,,,,,,,,,,,,,0,5013,0,0,1024,0,1024,5013,,,,5013
,0,3991,QSAR-TID-194,,,,,,,,,,,,,,,,0,5188,0,0,1024,0,1024,5188,,,,5188
,0,4045,QSAR-TID-259,,,,,,,,,,,,,,,,0,4332,0,0,1024,0,1024,4332,,,,4332
1,1,5648,COMET_MC,,,,,,,,,,1,,,,,,4,7619400,0,0,0,0,4,7619400,"-0,1316574744","-0,471657149",0,
,0,3517,QSAR-TID-87,,,,,,,,,,,,,,,,0,4160,0,0,1024,0,1024,4160,,,,4160
0,0,40753,delays_zurich_transport,log,1,,,,,,,,,,,,,,9,5465575,4,0,1,0,14,5465575,"-3,315570519","-3,379141458",1,5465575
1,1,41065,mnist_rotation,,,,,,,,,,,,,,,0,784,62000,0,0,0,0,784,62000,"-2,936977995","-3,531241365",0,
1,1,41506,NewFuelCar,,,,,,,,,1,,,,,,,16,27232,0,0,1,8971,17,36203,"-0,2989001729","-1,060173398",0,
1,1,41540,black_friday,,,,,,,,,,1,,,,,,4,166821,4,0,1,0,9,166821,"-3618,839645","-4745,209164",0,
1,1,41523,test_dataset,,,,,,,,,1,,,,,,,51,15533,0,0,9,14,60,15547,"-0,3966057707","-0,4517999434",0,
1,1,41524,test_dataset,,,,,,,,,1,,,,,,,51,15533,0,0,9,14,60,15547,"-0,4070199455","-0,448889904",0,
1,1,41525,test_dataset,,,,,,,,,1,,,,,,,51,15533,0,0,9,14,60,15547,"-0,3966057707","-0,4439712326",0,
1,1,41704,ASP-POTASSCO-regression,,,,,,,,,,,,,,1,,129,11836,3,0,10,2398,142,14234,"-182,3859927","-265,4419051",0,
1,1,42183,dataset_sales,,,,,,,,,1,,,,,,,7,10738,0,0,7,0,14,10738,"-3,478522805","-7,096480913",0,
1,,42256,Asteroid_Dataset,,,,,,,,,1,,,,,,,32,126035,1,0,0,96,33,126131,,,,
1,0,42545,stock_fardamento02,,,,,,,,,1,,,,,,,5,6277,1,0,0,0,6,6277,"-30,59456922","-25,54772217",1,
,0,42208,nyc-taxi-green-dec-2016,,,,,,,,,,,,,,,,3,581835,11,0,0,0,14,581835,,,,581835
0,1,42225,diamonds,log,,,,,,,,,,,,,,,6,53940,3,0,0,0,9,53940,"-0,2382820102","-0,2725828366",0,53940
0,0,42571,Allstate_Claims_Severity,log,1,,,,,,,,,,,,,,14,188318,116,0,0,0,130,188318,"-0,7901906491","-0,8005865017",1,188318
1,1,4549,Buzzinsocialmedia_Twitter,,,,,,1,,,,,,,,,,70,583250,0,0,7,0,77,583250,"-241,1602975","-1430,542382",0,
,0,42570,Mercedes_Benz_Greener_Manufacturing,,,,,,,,,,,,,,,,0,4209,8,0,368,0,376,4209,,,,4209
0,1,42688,Brazilian_houses,log,,,,,,,,,,,,,,,8,10692,4,0,0,0,12,10692,"-0,06698987269","-0,3496001134",0,10692
1,,42708,Flora,,,,1,,,,,,,,,,,,40407,15000,0,0,159593,0,200000,15000,,,,
1,0,42705,Yolanda,,,,,,,,,,,,,,1,,100,400000,0,0,0,0,100,400000,"-9,819730245","-10,24176163",1,
0,1,42712,Bike_Sharing_Demand,none,,,,,,,,,,,,,,,6,17379,2,0,4,0,12,17379,"-101,7499762","-155,3131001",0,17379
1,1,42092,house_sales,,,,,,,,,,,1,,,,,13,21613,2,0,4,0,19,21613,"-144802,4733","-259160,4428",0,
,0,42159,colleges,,,,,,,,,,,,,,,,21,0,16,8,4,7063,49,7063,,,,7063
1,0,42728,Airlines_DepDelay_10M,,,,,,,,,,1,,,,,,5,10000000,3,0,1,0,9,10000000,"-30,9556548","-31,03283654",1,
0,0,42724,OnlineNewsPopularity,log,,,,,,,,,,,,,,,45,39644,0,0,14,0,59,39644,"-0,8781884099","-0,9061621414",1,39644
0,1,42729,nyc-taxi-green-dec-2016,log,,,,,,,,,,,,,,,9,581835,9,0,0,0,18,581835,"-0,5166392098","-0,5956600491",0,581835
,0,42726,abalone,none,,,,,,,,,,,,,,,7,4177,1,0,0,0,8,4177,"-2,33457059","-2,308128325",1,4177
,0,41980,SAT11-HAND-runtime-regression,,,,,,,,,,,,,,,,113,1725,1,0,2,2715,116,4440,,,,4440
0,1,42731,house_sales,log,1,,,,,,,,,,,,,,15,21613,1,0,5,0,21,21613,"-0,1796796041","-0,2751481593",0,21613
0,1,23515,sulfur,none,,,,,,,,,,,,,,,6,10081,0,0,0,0,6,10081,"-0,02380835801","-0,03434213626",0,10081
1,1,42713,Bike_Sharing_Demand,,,,,,,,,,,1,,,,,6,17379,2,0,4,0,12,17379,"-101,1192037","-152,8918486",0,
1,0,42495,delays_zurich_transport,,1,,,,,,,,,1,,,,,11,27327,5,0,1,0,17,27327,"-113,6844383","-117,0520592",1,
1,1,4545,OnlineNewsPopularity,,,,,,,,,,,1,,,,,45,39644,1,0,14,0,60,39644,"-12636,69482","-14294,6517",0,
1,1,6331,LoanDefaultPrediction,,,,,,,,,1,,,,,,,731,55319,6,0,33,50152,770,105471,"-4,18492931","-5,3638731",0,
,0,42559,medical_charges_nominal,,,,,,,,,,,,,,,,3,163065,8,0,0,0,11,163065,,,,163065
0,0,42737,fps-in-video-games,none,,,,,,,,,,,,,,,25,191544,14,1,4,234289,44,425833,"-73,57917132","-74,60584683",1,425833
1,0,42821,NASA_PHM2008,,,,,,,,,1,,,,,,,14,45918,0,0,7,0,21,45918,"-41,34973536","-43,18552777",1,
1,0,42822,NASA_PHM2008_1,,,,,,,,,1,,,,,,,16,45918,0,0,5,0,21,45918,"-41,07409301","-42,87908032",1,
0,1,42720,medical_charges,log,1,,,,,,,,,,,,,,5,163065,6,0,0,0,11,163065,"-0,08007232942","-0,2687850987",0,163065
,0,42207,particulate-matter-ukair-2017,,,,,,,,,,,,,,,,3,394299,6,0,0,0,9,394299,,,,394299
0,1,43093,MiamiHousing2016,log,1,,,,,,,,,,,,,,14,13932,0,0,2,0,16,13932,"-0,1507253828","-0,3104897842",0,13932
,0,43144,SGEMM_GPU_kernel_performance,,,,,,,,,,,,,,,,3,241600,0,0,14,0,17,241600,,,,241600
0,1,43174,superconduct,none,,,,,,,,,,,,,,,79,21263,0,0,2,0,81,21263,"-10,31954048","-17,11427905",0,21263
,0,43871,SGEMM_GPU_kernel_performance,,,,,,,,,,,,,,,,0,241600,0,0,14,0,14,241600,,,,241600
1,1,43873,sarcos,,,,,,,,,,,,,,,0,21,44484,0,0,0,0,21,44484,"-3,323467463","-6,596812815",0,
,1,,california,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,fifa,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,year,,,,,,,,,,,,,,,,,,,,,,,,,,,