,AutoCorrelation,CfsSubsetEval_DecisionStumpAUC,CfsSubsetEval_DecisionStumpErrRate,CfsSubsetEval_DecisionStumpKappa,CfsSubsetEval_NaiveBayesAUC,CfsSubsetEval_NaiveBayesErrRate,CfsSubsetEval_NaiveBayesKappa,CfsSubsetEval_kNN1NAUC,CfsSubsetEval_kNN1NErrRate,CfsSubsetEval_kNN1NKappa,ClassEntropy,DecisionStumpAUC,DecisionStumpErrRate,DecisionStumpKappa,Dimensionality,EquivalentNumberOfAtts,J48.00001.AUC,J48.00001.ErrRate,J48.00001.Kappa,J48.0001.AUC,J48.0001.ErrRate,J48.0001.Kappa,J48.001.AUC,J48.001.ErrRate,J48.001.Kappa,MajorityClassPercentage,MajorityClassSize,MaxAttributeEntropy,MaxKurtosisOfNumericAtts,MaxMeansOfNumericAtts,MaxMutualInformation,MaxNominalAttDistinctValues,MaxSkewnessOfNumericAtts,MaxStdDevOfNumericAtts,MeanAttributeEntropy,MeanKurtosisOfNumericAtts,MeanMeansOfNumericAtts,MeanMutualInformation,MeanNoiseToSignalRatio,MeanNominalAttDistinctValues,MeanSkewnessOfNumericAtts,MeanStdDevOfNumericAtts,MinAttributeEntropy,MinKurtosisOfNumericAtts,MinMeansOfNumericAtts,MinMutualInformation,MinNominalAttDistinctValues,MinSkewnessOfNumericAtts,MinStdDevOfNumericAtts,MinorityClassPercentage,MinorityClassSize,NaiveBayesAUC,NaiveBayesErrRate,NaiveBayesKappa,NumberOfBinaryFeatures,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,PercentageOfBinaryFeatures,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,PercentageOfNumericFeatures,PercentageOfSymbolicFeatures,Quartile1AttributeEntropy,Quartile1KurtosisOfNumericAtts,Quartile1MeansOfNumericAtts,Quartile1MutualInformation,Quartile1SkewnessOfNumericAtts,Quartile1StdDevOfNumericAtts,Quartile2AttributeEntropy,Quartile2KurtosisOfNumericAtts,Quartile2MeansOfNumericAtts,Quartile2MutualInformation,Quartile2SkewnessOfNumericAtts,Quartile2StdDevOfNumericAtts,Quartile3AttributeEntropy,Quartile3KurtosisOfNumericAtts,Quartile3MeansOfNumericAtts,Quartile3MutualInformation,Quartile3SkewnessOfNumericAtts,Quartile3StdDevOfNumericAtts,REPTreeDepth1AUC,REPTreeDepth1ErrRate,REPTreeDepth1Kappa,REPTreeDepth2AUC,REPTreeDepth2ErrRate,REPTreeDepth2Kappa,REPTreeDepth3AUC,REPTreeDepth3ErrRate,REPTreeDepth3Kappa,RandomTreeDepth1AUC,RandomTreeDepth1ErrRate,RandomTreeDepth1Kappa,RandomTreeDepth2AUC,RandomTreeDepth2ErrRate,RandomTreeDepth2Kappa,RandomTreeDepth3AUC,RandomTreeDepth3ErrRate,RandomTreeDepth3Kappa,StdvNominalAttDistinctValues,kNN1NAUC,kNN1NErrRate,kNN1NKappa,id
0,0.9990610328638497,0.9619120657405762,0.05913642052565707,0.8811920214059075,0.9619120657405762,0.05913642052565707,0.8811920214059075,0.9619120657405762,0.05913642052565707,0.8811920214059075,0.9985755386554582,0.6714034536324981,0.33948685857321653,0.3396437687719142,0.011576971214017523,52.14040169716265,0.9960622907889662,0.007822277847309137,0.9843258097219999,0.9960622907889662,0.007822277847309137,0.9843258097219999,0.9960622907889662,0.007822277847309137,0.9843258097219999,52.221526908635795,1669.0,0.9956521852360185,,,0.19826687955488,3.0,,,0.5901482912442314,,,0.01915166562113,29.814462977732955,2.027027027027027,,,0.004094030352641959,,,1.18053e-09,2.0,,,47.778473091364205,1527.0,0.9520419938608541,0.12108886107634544,0.7569708778154078,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,94.5945945945946,0.0,0.0,0.0,100.0,0.28756000355035294,,,0.000777595577705,,,0.6794996247614244,,,0.00542648921343,,,0.9132329806576945,,,0.0184861208375775,,,0.997615519019934,0.01376720901126408,0.972417266903898,0.997615519019934,0.01376720901126408,0.972417266903898,0.997615519019934,0.01376720901126408,0.972417266903898,0.9451363376145694,0.05444305381727159,0.8908498653739637,0.9451363376145694,0.05444305381727159,0.8908498653739637,0.9451363376145694,0.05444305381727159,0.8908498653739637,0.1643989873053572,0.9728427352982838,0.06914893617021277,0.8609676573571107,3
1,0.04090204510225511,0.9425298055650914,0.15215,0.841756863867533,0.9425298055650914,0.15215,0.841756863867533,0.9425298055650914,0.15215,0.841756863867533,4.69981072657316,0.6574545268026781,0.9293,0.03276976655404448,0.00085,,0.9379676053125593,0.15865,0.8349979241615618,0.9379676053125593,0.15865,0.8349979241615618,0.9379676053125593,0.15865,0.8349979241615618,4.0649999999999995,813.0,,2.075245046157538,8.338849999999995,,26.0,1.1599750154235924,3.304555303560269,,0.6977379005298701,5.925465624999998,,,26.0,0.29029703410184804,2.273771145446362,,-0.4211788221168451,3.046099999999995,,26.0,-0.31007906987268463,1.5467224363199539,3.6700000000000004,734.0,0.9559207236903551,0.36025,0.6253250509940796,0.0,26.0,17.0,20000.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,94.11764705882352,5.88235294117647,,0.3091324958538607,4.174812499999999,,-0.13733042812365298,2.017438812826727,,0.8853044390128566,5.913225000000001,,0.2543345879398813,2.2933721022270195,,1.1728389823381402,7.7260124999999995,,0.653378002627639,2.5474231354919117,0.9544303249787935,0.20315,0.7887152321892192,0.9544303249787935,0.20315,0.7887152321892192,0.9544303249787935,0.20315,0.7887152321892192,0.9080139521161272,0.1769,0.816017080292,0.9080139521161272,0.1769,0.816017080292,0.9080139521161272,0.1769,0.816017080292,0.0,0.9731018928391187,0.05785,0.939833878217649,6
2,0.6971153846153846,0.8406824596109461,0.1984,0.6373963655418936,0.8406824596109461,0.1984,0.6373963655418936,0.8406824596109461,0.1984,0.6373963655418936,1.318116246441582,0.6469194362017804,0.376,0.3026706231454006,0.008,,0.8406824596109461,0.1984,0.6373963655418936,0.8406824596109461,0.1984,0.6373963655418936,0.8406824596109461,0.1984,0.6373963655418936,46.08,288.0,,-1.300798439249971,3.0,,3.0,0.0,1.4153462926807447,,-1.3007984392499752,3.0,,,3.0,0.0,1.4153462926807447,,-1.3007984392499798,3.0,,3.0,0.0,1.4153462926807447,7.84,49.0,0.9630951121002308,0.104,0.8071216617210683,0.0,3.0,5.0,625.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,80.0,20.0,,-1.3007984392499787,3.0,,0.0,1.4153462926807447,,-1.300798439249975,3.0,,0.0,1.4153462926807447,,-1.3007984392499718,3.0,,0.0,1.4153462926807447,0.8525668273986152,0.2144,0.602373887240356,0.8525668273986152,0.2144,0.602373887240356,0.8525668273986152,0.2144,0.602373887240356,0.834430637982196,0.2144,0.6257317781650802,0.834430637982196,0.2144,0.6257317781650802,0.834430637982196,0.2144,0.6257317781650802,0.0,0.9232008696010551,0.1648,0.7027931671283473,11
3,0.9954977488744372,0.9360315277777779,0.1335,0.8516666666666667,0.9360315277777779,0.1335,0.8516666666666667,0.9360315277777779,0.1335,0.8516666666666667,3.321928094887362,0.7207469444444443,0.8065,0.10388888888888889,0.1085,,0.9277102777777778,0.1375,0.8472222222222223,0.9277102777777778,0.1375,0.8472222222222223,0.9277102777777778,0.1375,0.8472222222222223,10.0,200.0,,1.7012862999932459,1141.5704999999996,,10.0,0.8630705307139119,153.51158138902838,,-0.315188200704828,318.2703888888889,,,10.0,0.027560516903782382,49.58131318395632,,-1.3893209589478623,6.7674999999999965,,10.0,-1.0738237890694697,1.9854850353031415,10.0,200.0,0.9919074999999999,0.0765,0.915,0.0,10.0,217.0,2000.0,0.0,0.0,216.0,1.0,0.0,0.0,0.0,99.53917050691244,0.4608294930875576,,-0.6970467475463484,14.118125000000006,,-0.2190263674003187,5.542689317909613,,-0.40269116562873153,146.4797499999999,,-0.014119361298266794,30.290065676946117,,0.01138630535997398,684.5027499999998,,0.36651259782511425,91.59687126428517,0.9486284722222221,0.1575,0.8250000000000001,0.9486284722222221,0.1575,0.8250000000000001,0.9486284722222221,0.1575,0.8250000000000001,0.8927777777777776,0.193,0.7855555555555556,0.8927777777777776,0.193,0.7855555555555556,0.8927777777777776,0.193,0.7855555555555556,0.0,0.9753261111111112,0.044,0.951111111111111,12
4,0.9954977488744372,0.8794304166666665,0.254,0.7177777777777777,0.8794304166666665,0.254,0.7177777777777777,0.8794304166666665,0.254,0.7177777777777777,3.321928094887362,0.72435,0.8045,0.10611111111111111,0.0385,,0.8594219444444444,0.282,0.6866666666666666,0.8594219444444444,0.282,0.6866666666666666,0.8594219444444444,0.282,0.6866666666666666,10.0,200.0,,1.994922620258805,0.37731057175,,10.0,1.029985534649324,0.17623067063193093,,0.11900628082326806,0.13203208401769737,,,10.0,0.5447006835842777,0.0671079516668835,,-1.1252793103314485,0.07169202572,,10.0,-0.12062462029872044,0.037555498917336186,10.0,200.0,0.9626375,0.2465,0.726111111111111,0.0,10.0,77.0,2000.0,0.0,0.0,76.0,1.0,0.0,0.0,0.0,98.7012987012987,1.2987012987012987,,-0.17890148800194938,0.0863261346625,,0.4089907636277701,0.04270430540290948,,0.06302301358113738,0.1064998764125,,0.5542281675523084,0.052759297535721755,,0.4381040236923678,0.15576810663375001,,0.7107847694791952,0.08633520114293441,0.9261233333333333,0.2845,0.6838888888888889,0.9261233333333333,0.2845,0.6838888888888889,0.9261233333333333,0.2845,0.6838888888888889,0.7913888888888889,0.3755,0.5827777777777778,0.7913888888888889,0.3755,0.5827777777777778,0.7913888888888889,0.3755,0.5827777777777778,0.0,0.8825091666666666,0.2115,0.765,14
5,0.6318051575931232,0.9269600826251608,0.055793991416309016,0.876873811577773,0.9269600826251608,0.055793991416309016,0.876873811577773,0.9269600826251608,0.055793991416309016,0.876873811577773,0.9293179372497983,0.9249080432694923,0.08869814020028613,0.8107527445175151,0.01430615164520744,,0.9269600826251608,0.055793991416309016,0.876873811577773,0.9269600826251608,0.055793991416309016,0.876873811577773,0.9269600826251608,0.055793991416309016,0.876873811577773,65.52217453505007,458.0,,12.6578780670256,4.417739628040058,,2.0,3.560657844495268,3.643857160492903,,1.6841150960407236,3.1357041002822355,,,2.0,1.477488666731089,2.7510805456186183,,-0.7988441354436415,1.589413447782546,,2.0,0.5928585326862892,1.7150779425067932,34.47782546494993,241.0,0.9883078465880973,0.04005722460658083,0.9125445722405428,1.0,2.0,10.0,699.0,16.0,16.0,9.0,1.0,10.0,2.28898426323319,0.22889842632331905,90.0,10.0,,-0.3083522161398966,2.836909871244634,,1.0449923682055797,2.3263320694866376,,0.18462131150511896,3.2074391988555093,,1.233136557961704,2.85537923921701,,1.57850674634774,3.49121208503258,,1.618319946298536,3.0525465017834734,0.952780445378608,0.055793991416309016,0.8756551129599474,0.952780445378608,0.055793991416309016,0.8756551129599474,0.952780445378608,0.055793991416309016,0.8756551129599474,0.9516904855835366,0.044349070100143065,0.9017452695441621,0.9516904855835366,0.044349070100143065,0.9017452695441621,0.9516904855835366,0.044349070100143065,0.9017452695441621,0.0,0.9752215115330954,0.04291845493562232,0.9044446672195541,15
6,0.9954977488744372,0.8933529166666667,0.2105,0.7661111111111111,0.8933529166666667,0.2105,0.7661111111111111,0.8933529166666667,0.2105,0.7661111111111111,3.321928094887362,0.6936666666666667,0.8045,0.10611111111111111,0.0325,,0.8896487500000001,0.21,0.7666666666666667,0.8896487500000001,0.21,0.7666666666666667,0.8896487500000001,0.21,0.7666666666666667,10.0,200.0,,0.580942601366925,2.891171124290001,,10.0,0.4187220480956684,7.691305182325387,,-0.045654845752496065,0.053084739246640686,,,10.0,-0.004285662607736754,2.152662828702679,,-0.944709265915264,-1.8197072740500002,,10.0,-0.3391130927319128,0.8923441138647591,10.0,200.0,0.9956313888888889,0.068,0.9244444444444445,0.0,10.0,65.0,2000.0,0.0,0.0,64.0,1.0,0.0,0.0,0.0,98.46153846153847,1.5384615384615385,,-0.14952953711034322,-0.29841679518749986,,-0.10420201025097077,1.1438482801014436,,-0.017345885787890536,0.004483087817499813,,-0.020815908469464905,1.6476505065816718,,0.07165494057478039,0.33246113886500006,,0.0591765364965291,2.6614803695239697,0.9227765277777779,0.2055,0.7716666666666666,0.9227765277777779,0.2055,0.7716666666666666,0.9227765277777779,0.2055,0.7716666666666666,0.83,0.306,0.6599999999999999,0.83,0.306,0.6599999999999999,0.83,0.306,0.6599999999999999,0.0,0.972274861111111,0.05,0.9444444444444444,16
7,0.9954977488744372,0.9114204166666667,0.295,0.6722222222222222,0.9114204166666667,0.295,0.6722222222222222,0.9114204166666667,0.295,0.6722222222222222,3.321928094887362,0.7612499999999999,0.8015,0.10944444444444444,0.0035,,0.9114204166666667,0.295,0.6722222222222222,0.9114204166666667,0.295,0.6722222222222222,0.9114204166666667,0.295,0.6722222222222222,10.0,200.0,,0.0794938700561878,6155.200435156556,,10.0,1.0084830014756712,3757.634467006599,,-0.536236922624337,1052.6997316402776,,,10.0,0.5315671843447396,630.90708251402,,-1.0383559313284294,0.49249999999999505,,10.0,-0.06283666261436584,0.2913157171953473,10.0,200.0,0.9512127777777779,0.2995,0.6672222222222223,0.0,10.0,7.0,2000.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,85.71428571428571,14.285714285714285,,-0.8692491113871175,0.6582499999999927,,0.21477131477248879,0.571544999056086,,-0.6352635311790746,1.686534392555002,,0.6245331546193721,0.9208719889146832,,-0.11149071301766611,1656.114273214139,,0.7676581134191288,958.1661269687643,0.9442476388888889,0.2935,0.6738888888888889,0.9442476388888889,0.2935,0.6738888888888889,0.9442476388888889,0.2935,0.6738888888888889,0.8167275,0.3345,0.6283333333333333,0.8167275,0.3345,0.6283333333333333,0.8167275,0.3345,0.6283333333333333,0.0,0.8227808333333333,0.3295,0.6338888888888888,18
8,0.9954977488744372,0.8614040277777776,0.314,0.6511111111111112,0.8614040277777776,0.314,0.6511111111111112,0.8614040277777776,0.314,0.6511111111111112,3.321928094887362,0.6806197222222223,0.806,0.10444444444444444,0.024,,0.8609231944444445,0.3195,0.645,0.8609231944444445,0.3195,0.645,0.8609231944444445,0.3195,0.645,10.0,200.0,,4.370101298879665,508.902571633625,,10.0,1.794599514537336,124.19249364407266,,0.7353956813037765,88.63642941472712,,,10.0,0.7908300764747563,40.1254529217552,,-0.9914117205299373,0.07855426092,,10.0,0.005491522368602323,0.0665520027146517,10.0,200.0,0.9590269444444445,0.2705,0.6994444444444445,0.0,10.0,48.0,2000.0,0.0,0.0,47.0,1.0,0.0,0.0,0.0,97.91666666666666,2.083333333333333,,-0.4612428052581321,7.537383493435,,0.37904887836339535,3.7579900876369465,,0.444046398140002,69.881896744535,,0.7415928908678675,37.878377911282136,,1.8699835840120702,126.83265674023002,,1.2548334728305888,65.21134486568818,0.8958765277777778,0.3295,0.6338888888888888,0.8958765277777778,0.3295,0.6338888888888888,0.8958765277777778,0.3295,0.6338888888888888,0.7797222222222222,0.3965,0.5594444444444445,0.7797222222222222,0.3965,0.5594444444444445,0.7797222222222222,0.3965,0.5594444444444445,0.0,0.8854525,0.2065,0.7705555555555555,22
9,0.9966032608695652,0.6599986009904834,0.4894772572980312,0.2302758889602379,0.6599986009904834,0.4894772572980312,0.2302758889602379,0.6599986009904834,0.4894772572980312,0.2302758889602379,1.5390345832497478,0.5552950487800741,0.572980312287848,0.0,0.006788866259334691,53.274885238451205,0.6520164081542908,0.5044127630685675,0.21816403682727648,0.6520164081542908,0.5044127630685675,0.21816403682727648,0.6520164081542908,0.5044127630685675,0.21816403682727648,42.701968771215206,629.0,1.8667550694041894,1.5296065513316615,32.53835709436525,0.07090633894894,4.0,1.0990139461060884,8.227244755470613,1.2208122969788784,0.2928560302339025,17.89986422267482,0.028888557457444283,41.259372029124556,3.125,0.6777315757939906,5.2928968090790125,0.380671663040156,-0.9438944908638565,3.2613713509843865,0.00258233237972,2.0,0.25644920548189276,2.3585488626874125,22.606924643584524,333.0,0.6798006519603141,0.506449422946368,0.2336054769068532,3.0,3.0,10.0,1473.0,0.0,0.0,2.0,8.0,30.0,0.0,0.0,20.0,80.0,0.6082239803272842,-0.9438944908638565,3.2613713509843865,0.00982050143438,0.25644920548189276,2.3585488626874125,1.4479885111323352,0.2928560302339025,17.899864222674818,0.03047421456026,0.6777315757939906,5.2928968090790125,1.757839343635201,1.5296065513316615,32.53835709436525,0.04013859922938,1.0990139461060884,8.227244755470613,0.6719876165083715,0.4881194840461643,0.24500740673149984,0.6719876165083715,0.4881194840461643,0.24500740673149984,0.6719876165083715,0.4881194840461643,0.24500740673149984,0.6012886776675508,0.5207060420909708,0.19342354382447932,0.6012886776675508,0.5207060420909708,0.19342354382447932,0.6012886776675508,0.5207060420909708,0.19342354382447932,0.9910312089651149,0.5810647503679196,0.551255940257977,0.14890873693558304,23
10,0.09254315714539954,0.9437785420246294,0.11583629893238434,0.8712880928662626,0.9437785420246294,0.11583629893238434,0.8712880928662626,0.9437785420246294,0.11583629893238434,0.8712880928662626,3.3218327248667654,0.685478631752301,0.801779359430605,0.10895524656780008,0.011565836298932384,,0.9421672139708684,0.1202846975088968,0.8663455402192581,0.9421672139708684,0.1202846975088968,0.8663455402192581,0.9421672139708684,0.1202846975088968,0.8663455402192581,10.177935943060499,572.0,,2807.4985758153466,11.989679715302495,,10.0,52.99527777138423,6.518238490323084,,168.55386930105925,4.911243327402135,,,10.0,5.451185659375441,3.6862924649286315,,-1.646519852942154,0.0,,10.0,-1.3029924517157276,0.0,9.857651245551601,554.0,0.9840879237555247,0.0905693950177936,0.8993684540095387,0.0,10.0,65.0,5620.0,0.0,0.0,64.0,1.0,0.0,0.0,0.0,98.46153846153847,1.5384615384615385,,-1.3729913768757025,0.26103202846975304,,-0.32992700595175056,0.9671170904003787,,0.07721647432773548,4.565569395017791,,0.5599451157139905,4.3017468979243105,,20.296405116214235,9.04915480427047,,4.0666119739712565,5.86637152935096,0.956425400938372,0.14323843416370108,0.8408389053730106,0.956425400938372,0.14323843416370108,0.8408389053730106,0.956425400938372,0.14323843416370108,0.8408389053730106,0.910334820783592,0.1613879003558719,0.8206798583827717,0.910334820783592,0.1613879003558719,0.8206798583827717,0.910334820783592,0.1613879003558719,0.8206798583827717,0.0,0.990615669145613,0.016903914590747332,0.9812174550809054,28
11,0.9782293178519593,0.8776120291543702,0.14347826086956522,0.7101750574897961,0.8776120291543702,0.14347826086956522,0.7101750574897961,0.8776120291543702,0.14347826086956522,0.7101750574897961,0.9912308989033523,0.8590375996121823,0.14492753623188406,0.7116180318139644,0.02318840579710145,10.987754965826467,0.8928568391151631,0.1608695652173913,0.6739935471238732,0.8928568391151631,0.1608695652173913,0.6739935471238732,0.8928568391151631,0.1608695652173913,0.6739935471238732,55.507246376811594,383.0,3.4964402118046265,214.66997242752777,1017.3855072463792,0.42570942667283,14.0,13.140655014445356,5210.102598302697,1.2537639123535842,49.931703911167034,207.0584299702253,0.09021232289819223,12.897922945277674,4.2,4.423867143578692,901.5091409447066,0.5010395545266964,1.1192361294529984,2.22340579710145,0.0006029571694,2.0,1.1458915555559273,3.3465133592781324,44.492753623188406,307.0,0.8940115780808026,0.21594202898550724,0.5492647768025463,5.0,2.0,16.0,690.0,37.0,67.0,6.0,10.0,31.25,5.36231884057971,0.6068840579710145,37.5,62.5,0.8162006158245964,1.9853254475312268,2.355851449275366,0.005378837210200001,1.403082732387671,4.48383336548978,0.9847953334568664,15.348780875597205,18.163447864563295,0.02960326183246,2.8076616546800306,8.468012873399704,1.39388043097786,91.78956656083423,392.35745509815314,0.13272286566341002,7.149553646695756,1432.8807257446028,0.8857766135685188,0.14492753623188406,0.7105146127188972,0.8857766135685188,0.14492753623188406,0.7105146127188972,0.8857766135685188,0.14492753623188406,0.7105146127188972,0.7672209006951606,0.2492753623188406,0.49105006303980503,0.7672209006951606,0.2492753623188406,0.49105006303980503,0.7672209006951606,0.2492753623188406,0.49105006303980503,4.049691346263318,0.8184187921517933,0.1782608695652174,0.6382815496739548,29
12,0.5695695695695696,0.7208285714285714,0.273,0.3056968463886062,0.7208285714285714,0.273,0.3056968463886062,0.7208285714285714,0.273,0.3056968463886062,0.8812908992306927,0.6647619047619048,0.3,0.0,0.021,43.593036016305035,0.6617476190476189,0.279,0.24431202600216673,0.6617476190476189,0.279,0.24431202600216673,0.6617476190476189,0.279,0.24431202600216673,70.0,700.0,2.6666777598518516,4.292590308048501,3271.257999999999,0.09473884155264,10.0,1.9496276798326246,2822.7368759604396,1.433893225502841,0.9242775257981102,476.58385714285697,0.02021632305905615,69.92749860170595,4.0,0.9203791257169068,407.04761882821174,0.2283640258405646,-1.3814485027493755,1.1549999999999998,0.00096366001491,2.0,-0.5313481143125632,0.3620857717531919,30.0,300.0,0.786047619047619,0.248,0.3724696356275304,3.0,2.0,21.0,1000.0,0.0,0.0,7.0,14.0,14.285714285714285,0.0,0.0,33.33333333333333,66.66666666666666,0.9089779148834296,-1.2104731179379757,1.407,0.005310005973835,-0.2725698140337198,0.5776544682460991,1.5321036281187235,0.9197813600546327,2.9730000000000003,0.01275318647802,1.09418417155554,1.1187146743126737,1.8749120301493503,1.6492736936699308,35.54600000000001,0.02650410754481,1.909444721297511,12.058814452756392,0.7002928571428572,0.269,0.22254335260115596,0.7002928571428572,0.269,0.22254335260115596,0.7002928571428572,0.269,0.22254335260115596,0.6580238095238096,0.298,0.2781007751937982,0.6580238095238096,0.298,0.2781007751937982,0.6580238095238096,0.298,0.2781007751937982,2.0380986614602725,0.649047619047619,0.286,0.30447470817120614,31
13,0.10290237467018469,0.9782711762062135,0.05058224163027657,0.9437860838946031,0.9782711762062135,0.05058224163027657,0.9437860838946031,0.9782711762062135,0.05058224163027657,0.9437860838946031,3.320771738890595,0.7173373091264319,0.7958515283842795,0.11176167822865958,0.0015465793304221252,,0.9817749787965896,0.04439592430858806,0.9506616486549189,0.9817749787965896,0.04439592430858806,0.9506616486549189,0.9817749787965896,0.04439592430858806,0.9506616486549189,10.407569141193596,1144.0,,3.0507472845475934,85.12026928675397,,10.0,0.9482646831122141,41.760399833120424,,-0.501042935533417,50.711045533115005,,,10.0,-0.03919608212030848,29.77423823733485,,-1.6857931744696484,28.845342066957787,,10.0,-1.4911828752029315,16.21857067549395,9.597889374090247,1055.0,0.979688395024371,0.14255822416302766,0.841573443111714,0.0,10.0,17.0,10992.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,94.11764705882352,5.88235294117647,,-1.1972600845920125,35.90636371906841,,-0.4250896848780795,26.506410017106628,,-0.7839021550500958,48.52893013100446,,0.08645947162697144,30.241492389979598,,-0.260617128652207,59.604416848617134,,0.44735729477907227,34.227219367990614,0.9863827944554124,0.06777656477438136,0.9246771388571129,0.9863827944554124,0.06777656477438136,0.9246771388571129,0.9863827944554124,0.06777656477438136,0.9246771388571129,0.9698982195381142,0.05413027656477438,0.9398412673504434,0.9698982195381142,0.05413027656477438,0.9398412673504434,0.9698982195381142,0.05413027656477438,0.9398412673504434,0.0,0.9956000692054666,0.007914847161572052,0.991204094219016,32
